Пол,Возраст,Город,Готовность к переезду,Готовность к командировкам,Гражданство,Разрешение на работу,Знания языков,Образование,Дополнительное образование,Зарплата,Время в пути до работы,Занятость,График,Опыт работы (мес),Обязанности на пред.работе,Этап сделки
Ж,25,Москва,не готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,50000.0,не имеет значения,полная занятость,полный день,59,"Сопровождение проектов, ведение переговоров с подрядчиками и заказчиками. Написание текстов. Выезд на встречи, составление смет и отчетности. Написание ТЗ. Согласование вопросов с подрядчиками и заказчиками.Умение работать в режиме многозадачности.Мои достижения:1) Успешно проведённые переговоры с клиентами, благополучные сделки.2)Прекрасные отношения с клиентами даже после проекта. Неоднократно обращались ещё за помощью., Согласование рекламных макетов и роликов с юридическим департаментом . Проверка рекламных роликов и макетов на технические требования .Достижения:1) Изучила ФЗ о рекламе+использовала эти знания в работе2) Своевременно закрывала согласования даже в самые загруженные рекламные месяцы, тем самым у нас размещалось больше клиентов., Прямые продажи , кассовые операции, ведение отчётностей , работа мерчендайзеромДостижения команды:1)Наша команда попадала 3 раза в рейтинг лучших продаж месяца.2) Победили в номинации -«лучшая команда месяца», Контроль промоутеров на знание продукта , пунктуальности и внешнего вида . Ведение отчетности по точкам ( Мвидео, эльдорадо )Мои достижения:1) 2 раза была лучшим менеджером по продажам за квартал (Мвидео Красная Пресня)",да
М,33,Москва,не готов к переезду,готов к командировкам,Россия,Россия,Русский,Высшее образование,no_data,150000.0,не имеет значения,полная занятость,"полный день, удаленная работа",145,"Руковожу объектами по строительству.-набор сотрудников, аттестация, проверка документов-организация выхода полного состава сотрудников на обьекты-заключение договоров по новым объектам-руководство работами, проверка, контроль, выполнение работ по сроку-ведение графика работы и расчёт сотрудников., Руководитель отдела продажФункциональные обязанности:- продажа товара: майнинг оборудование- поиск/ведение ключевых клиентов-реклама-продвижение сайта-руководство отделом продаж-составление и подписание договоров с клиентами-набор сотрудников, ра ота с ними, мотивация и достижение высоких показателей-обучение сотрудников отдела продаж, координацияДостижения:-высокие показатели продаж;Причина ухода:- Недобросовестность работодателя, Функциональные обязанности:- продажа товара: майнинг оборудование;- работа с рекламными материалами;-ведение расчетов и документации по продажам, отчетность;- поиск/ведение ключевых клиентов;Достижения:-высокие показатели продаж;-оборот более 50 млн. за месяц;Причина ухода:-Спад рынка майнинг- оборудования., Функциональные обязанности:- продажа товара: мужская, женская, детская одежда;- работа с рекламными материалами;-ведение расчетов и документации по продажам, отчетность;Достижения:-высокие показатели продаж;-нацеленность на результат;-за высокие результаты назначен Региональным менеджером по России.Причина ухода:-Переезд в Москву., Руководитель отдела продаж- продажа товара: кожаные и меховые изделия;- работа с рекламными материалами;- создание команды, руководство командой в 50 человек;-проведение распродаж по всей территории России;-ведение расчетов и документации по продажам, отчетность;-закупка товара для продаж;Достижения:-Создание и обучение команды в 50 человек;-Нацеленность на результат;-Личный рекорд 1,2 млн руб. в день (личная продажа).Причина ухода:-Семейные обстоятельства, переезд в Казань.",да
Ж,19,Москва,готов к переезду,готов к командировкам,Беларусь,Россия,Русский Английский,Среднее специальное образование,Техники Продаж,60000.0,не более полутора часов,"проектная работа, полная занятость","гибкий график, полный день",17,"- Привлекала новых клиентов (конечные потребители, строительные-монтажные организации, дизайнерские агентства) по предоставленной базе контактов;-Работала с существующей базой клиентов, в т.ч. совершала исходящие звонки с целью поддержания/восстановления деловых отношений;-Вела переговоры и выявляла потребности у ЛПР;-Подбирала оборудование ,как самостоятельно, так и с привлечением службы технической поддержки;-Подготавливала коммерческие предложения;-Сопровождала клиента на всех этапах сделки;-Подготавливала отчеты, работала в CRM., -Занималась холодным поиском клиентов, выходила на ЛПР;-Заключала договора;-Проводила презентацию продукта;-Обрабатывала входящие звонки / совершала исходящие звонки;-Выполняла план по звонкам, конверсии и продажам;-Курировала клиентов до и после совершения сделки;Ключевые Результаты:-Стабильно перевыполняла план от 130%-Выполняла все целевые показатели.",да
Ж,25,Тюмень,не готов к переезду,готов к командировкам,Россия,Россия,Русский Английский Китайский,Высшее образование,no_data,30000.0,не более часа,полная занятость,полный день,34,"- Оформление договоров ипотечного страхования- Расчет стоимости страхования- Формирование и своевременная сдача досье- Оформление возвратов ошибочно уплаченных средств по договорам ипотечного страхования- Прозвон клиентской базы по пролонгации- Ежедневное ведение отчетности- Продажи дополнительных страховых продуктов, — Размещение вакансий;— Ведение базы кандидатов;— Отбор резюме в соответствии с профилем кандидата;— Приглашение кандидатов на собеседование/брифинг;— Проведение первичного телефонного интервью;— Ведение канбан-доски и другой отчетности;— Выполнение плановых показателей., — Ежедневное выполнение целевого ориентира (прием не менее 7 заявок в день) на ипотечное кредитование и рефинансирование действующей ипотеки;— Личное и телефонное консультирование клиентов по условиям ипотечного кредитования и действующим ставкам банка;— Обзвон одобренных клиентов с целью уточнения готовности выхода на сделку;— Проверка 1-й описи досье (заверение первичного пакета документов, предоставленных на момент подачи заявки)., — Работа с готовой базой, осуществление исходящих звонков с целью выявления потребности в справочно-правовой системе КонсультантПлюс;— Подготовка коммерческих предложений;— Проведение выездных и телефонных презентаций для клиентов., — Обработка информации, формирование анкет, дальнейшая отправка готовых анкет в банки;— Работа с входящими звонками;— Выполнение функционала администратора на время его отсутствия;— Отправка документов по клиентам риелторам;— Осуществление звонков в банки с целью выяснения этапа рассмотрения заявки;— Формирование пакета документов по должникам для отправки в юридический отдел., ООО «МДК Фитнес-Ноябрьск», сеть фитнес клубов Атлетик Джим,— Выполнение личного и общего плана продаж;— Привлечение клиентов (работа с холодной и теплой базой);— Консультация клиентов о стоимости и видах клубных карт, проведение ознакомительных экскурсий для новых клиентов, оформление договоров при покупке абонементов;— Ведение потенциального клиента от первичного контакта (звонок, визит) до продажи;— Первичное консультирование клиентов клуба по поводу персональных тренировок;— Работа с кассой, открытие и закрытие смены, ведение всей необходимой документации, оформление плановой инкассации;— Участие в организации мероприятий, проводимых фитнес клубом;— Ведение отчетности в «1С: Предприятие».",нет
Ж,32,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,Национальная платформа открытого образования,80000.0,не более часа,полная занятость,"гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",145,"Принята на должность менеджера по работе с корпоративными клиентами в отдел продаж.- укрепление взаимоотношений с действующими клиентами, развитие их лояльности к компании;- консультирование клиентов и разработка оптимальных предложений;- организация, ведение и контроль работы по заявкам клиентов;- ведение взаиморасчетов с клиентами;, Принята на должность менеджера по продажам готового продукта (работа с физическими лицами, работа с 1С).Переведена в отдел индивидуального и корпоративного обслуживания (работа с физическими и юридическими лицами, разработка индивидуальных предложений для клиентов, работа с зарубежными партнерами, работа в 1С)., Работа в торговом зале, работа с кассовым аппаратом, работа с инкасаторами",да
Ж,0,Москва,не готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,PROFIT,30000.0,не более часа,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день",129,"- Работа с клиентской базой, презентация услуг компании с целью заключения договоров о сотрудничестве.- Формирование пакета документов и подписание договоров об оказании услуг.- Взаимодействие с юридическим отделом и другими подразделениями компании.- Ведение базы клиентов в CRM., • Подбор кадров;• Документальное сопровождение проектов;• Обеспечение выполнения работ в указанные сроки;• Взаимодействие с контрагентами;• Решение организационных вопросов с чётким соблюдением сроков;• Деловая переписка в ходе выполнения проектов;• Поиск и привлечение новых партнеров и спонсоров с помощью всех каналов коммуникации (телефонные звонки, email, мессенджеры); ведение переговоров, заключение договоров;• Запуск и координация текущих и будущих проектов с коммерческими партнерами, в том числе с корпоративным сектором;• Подготовка презентаций, предложений и соглашений о сотрудничестве;• Поддержание связи с партнерами по текущим проектам, отслеживание и координация реализации пунктов соглашения о сотрудничестве;• Сбор и анализ необходимой информации в Интернете;• Анализ текущих партнерских проектов и выделение ключевых направлений для развития сотрудничества с другими НКО и коммерческими организациями;• Составление сметы проектов и анализ ресурсов.Достижения: Увеличила оборот компании с 17 до 28 000 000 руб./годСоздала и управляла командой единомышленников., Запуск и руководство собственным интернет-магазином женской одежды и бижутерии с нуля. Закрытие в связи с отсутствием оборотных средств на развитие и повышением курса валют, снизился уровень рентабельности., Управление проектами по внедрению финансовых сервисов (платежные карты, кредиты, денежные переводы) ПС ""Золотая корона"", MasterCard. Организация полного цикла мероприятий по результативной работе проектной команды (юридическая, техническая, финансовая части проекта), а именно:- формирование проектной команды из представителей всех ключевых подразделений компании, задействованных в реализации проекта;- разработка проектного плана, согласование этапов и сроков реализации с партнером;- проработка юридического блока (формирование всех необходимых актуальных редакций договоров в соотвествии с действущими поправками в ФЗ РФ, согласование как внутри компании, так и с заказчиком);- проработка финансового блока (формирование финансовой и бухгалтерской схемы проекта);- техническая часть (утверждение плана работ по техническому внедрению проекта, полный контроль их дальнейшего исполнения);- организация обучения персонала партнера для работы со всеми внедренными сервисами, поддержка на первом этапе работы;- формирование совместно с партнером мотивационной схемы для персонала;- проработка совместно с партнером плана маркетинговых мероприятий для эффективного запуска и начала работы проекта.В результате: полностью реализованный проект, включающий в себя работающие на платформе партнера сервисы, подписанные договоры, обученный готовый к работе персонал, запущенная рекламная кампания по первичному продвижению услуг в рамках проекта., Полный цикл работ по привлечению и развитию корпоративных клиентов сегмента B2B. Назначение встреч и проведение переговоров с руководством компаний-потенциальных клиентов. Подготовка и презентация коммерческих предложений. Разработка индивидуальных проектов для ключевых клиентов. Координация работы других подразделений компании в процессе реализации данных проектов. Выстраивание долгосрочных партнерских отношений с привлеченными клиентами бизнес-сектора. Эффективная работа с ключевыми клиентами (key-account management). Мониторинг конкурентной среды с целью формирования актуальных коммерческих предложений., - Встречи с интервьюируемыми- Сбор необходимой информации для написания статей- Подготовка материалов в печать в установленные сроки",да
М,33,Новосибирск,готов к переезду,готов к командировкам,Россия,no_data,Русский Английский,Высшее образование,no_data,37000.0,не более часа,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",60,"Холодные звонки и прием заявок на оборудование, консультация по оборудованию из области безопасности. Работа с 1С. Деловые встречи. Взаимодействие с ТК и поставщиками. Заключение договоров. Отгрузка со склада. Полное сопровождение сделки., Холодные звонки, встречи. Формирование кп. Взаимодействие с программистами и дизайнерами, участие в проектах. Заключение договоров. Контроль работы колл-менеджеров. Отчетность., Составление кп. Холодные звонки, встречи. Участие в создании видеоролика. Заключение договора.",да
Ж,23,Якутск,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский Корейский,Среднее образование,Почта России,50000.0,не более часа,полная занятость,полный день,35,"продажа продуктов корпоративным клиентам, Сопровождение сделок с первыми лицами компании, размещение рекламных кампаний, продажа банковских продуктов, активные продажи онлайн-продуктовконсультация клиентов, подбор, консультация и нахождение клиентов, консультирование по табачной продукции, проведение акций Достижения: перевыполнения плана на 60%, что в сравнение с другими консультантами выше на 50-40%",да
М,33,Санкт-Петербург,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,30000.0,не имеет значения,"проектная работа, полная занятость","полный день, сменный график, удаленная работа",148,"- Продажа натурального и искуственного камня, и изделий из него (гранит/мрамор/оникс/кварцевый агломерат)- Активный поиск потенциальных клиентов, ведение переговоров- Работа с новыми клиентами компании (уже заинтересованными).- Выявление потребностей клиента и формирование коммерческих предложений.- Заключение и сопровождение договоров.- Подбор оптимальной товарной программы, повышение маржинальности сделок.- Оптимизация условий поставки.- Повышение качества обслуживания и клиентской лояльности.- Полный цикл сопровождения сделок (работа с заказами, планирование отгрузок).- Контроль дебиторской задолженности.- Встречи с первыми лицами компаний, - Продажа натурального и искуственного камня, и изделий из него (гранит/мрамор/оникс/кварцевый агломерат)- Активный поиск потенциальных клиентов, ведение переговоров- Работа с новыми клиентами компании (уже заинтересованными).- Выявление потребностей клиента и формирование коммерческих предложений.- Заключение и сопровождение договоров, оперативное взаимодействие с отделами компании.- Подбор оптимальной товарной программ6ы, повышение маржинальности сделок.- Оптимизация условий поставки.- Повышение качества обслуживания и клиентской лояльности.- Полный цикл сопровождения сделок (работа с заказами, планирование отгрузок совместно с отделом закупок- Контроль дебиторской задолженности совместно с финансовым отделом- Встречи с первыми лицами компаний, - Организация и контроль работы отдела в соответствии с целями и задачами компании;- Оперативное управление деятельностью отдела;- Постановка задач подчиненным и контроль над их исполнением;- Управление материально техническим снабжением производства;- Финансовой планирование;- Развитие принципиально новых направлений;, -Закупка электронных компонентов для динамично растущего производства.-Организация работ субподрядчиков.-Организация работы склада.-Работа с зарубежными поставщиками, ВЭД.-Организация доставки и таможенной очистки грузов.-Организация и контроль исполнения сроков поставки оборудования.-Планирование объемов запасов.-Поиск и проверка новых поставщиков;-Ведение переговоров;-Претензионная работа с поставщиками;",да
Ж,39,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,"ООО""Гретта""",100000.0,не более часа,полная занятость,полный день,139,"- Работа с существующей клиентской базой- Поиск потенциальных клиентов и проведение с нимипереговоров о поставках продукции- работа по предзаказа и со свободного склада- Подготовка финансовых предложений и способовпроведения специализированных скидок- Выполнение плана продаж и увеличение объемовпродаж- Составление коммерческих предложений и заключениедоговоров- Ведение документооборота в полном объеме- Отслеживание дебиторской задолженности- Формирование отчетов- Решение конфликтных ситуаций с клиентами- Участие в выставках , презентациях- Посещение разнообразных семинаров, тренингов имероприятий, посвященных деятельности менеджеровпо продажам, - Привлечение клиентов- Ведение существующей клиентской базы- Выполнение плана- Предоставление отчетов- Контроль дебиторской задолженности- Решение различных проблемных вопросов,возникающих в процессе осуществления торговыхсделок- Участие в выставках, - Привлечение клиентов холодными звонками- Заключение договоров- Составление коммерческих предложений- Контроль дебиторской задолженности- Решение конфликтных ситуаций с клиентами- Участие в тренингах- Участие в выставках, - Обработка входящих звонков- Подбор туров- Заключение договор- Сопровождение клиента- Оформление путевок и сопутствующих документов- Решение проблемных ситуаций, - Работа с договорами, контроль выполнения условий- Взаиморасчеты с поставщиками- Ведение и контроль движения денежных средств,внесение информации в программу учета- Подготовка отчетов",нет
